player	season	tp_acc
Jure Lalic	2016 - 2017	1.000000
Dustin Hogue	2018 - 2019	1.000000
Daniel File	2012 - 2013	1.000000
Sean Finn	2008 - 2009	1.000000
Yao Ming	2008 - 2009	1.000000
Ivan Grgat	2001 - 2002	1.000000
Patrick Femerling	2001 - 2002	1.000000
Tomas Pomikalek	2015 - 2016	1.000000
Michael Andersen	2004 - 2005	1.000000
Leon Radosevic	2014 - 2015	1.000000
Shaun Livingston	2013 - 2014	1.000000
Ibrahima Drame	2019 - 2020	1.000000
Joe Smith	1999 - 2000	1.000000
Alain Koffi	2015 - 2016	1.000000
Ryan Wright	2015 - 2016	1.000000
Livio Jean-Charles	2015 - 2016	1.000000
Jerome Meyinsse	2011 - 2012	1.000000
Jose Gutierrez	2014 - 2015	1.000000
Loic Schwartz	2016 - 2017	1.000000
Sheray Thomas	2012 - 2013	1.000000
Stoyan Petkov	2012 - 2013	1.000000
Peter Simek	2012 - 2013	1.000000
Greg Monroe	2019 - 2020	1.000000
Emilio Kovacic	2001 - 2002	1.000000
Ed Nelson	2012 - 2013	1.000000
Bennett Davison	2001 - 2002	1.000000
ZhaoBao Ge	2012 - 2013	1.000000
Adrian Diaz	2017 - 2018	1.000000
Tai Wynyard	2019 - 2020	1.000000
Andrija Zizic	2003 - 2004	1.000000
Nejc Buda	2016 - 2017	1.000000
Marcin Gortat	2013 - 2014	1.000000
John McCord	2005 - 2006	1.000000
Jerome Schmitt	2005 - 2006	1.000000
Ross Bekkering	2015 - 2016	1.000000
Milan Markovic	2016 - 2017	1.000000
Vaidas Cepukaitis	2013 - 2014	1.000000
Greg Monroe	2019 - 2020	1.000000
Dalibor Bagaric	2005 - 2006	1.000000
Tyler Wilkerson	2010 - 2011	1.000000
Kiel Turpin	2015 - 2016	1.000000
Jamie Feick	1999 - 2000	1.000000
Jorge Chavez	2019 - 2020	1.000000
D'or Fischer	2008 - 2009	1.000000
Boniface Ndong	2008 - 2009	1.000000
Josh Powell	2008 - 2009	1.000000
Marcin Gortat	2008 - 2009	1.000000
Karlo Zganec	2012 - 2013	1.000000
Adam Chubb	2008 - 2009	1.000000
Lazaros Agadakos	2008 - 2009	1.000000
Zack Moritz	2012 - 2013	1.000000
Nemanja Zdravkovic	2019 - 2020	1.000000
Anthony Mason	2001 - 2002	1.000000
Sergei Lishouk	2012 - 2013	1.000000
Frejus Zerbo	2019 - 2020	1.000000
Trevor Mbakwe	2013 - 2014	1.000000
Akos Keller	2014 - 2015	1.000000
Kyle Hunt	2015 - 2016	1.000000
Vladimir Stimac	2012 - 2013	1.000000
Asbjorn Midtgaard	2014 - 2015	1.000000
Andre Riddick	2004 - 2005	1.000000
Tony Massenburg	2001 - 2002	1.000000
James Forrest	2001 - 2002	1.000000
Andrew Bogut	2015 - 2016	1.000000
Paul Davis	2012 - 2013	1.000000
Nenad Krstic	2012 - 2013	1.000000
Gabe Kennedy	2011 - 2012	1.000000
Igor Zamanskiy	2012 - 2013	1.000000
Gleb Pekhtsiarou	2019 - 2020	1.000000
LaMarcus Aldridge	2015 - 2016	1.000000
Sean Finn	2008 - 2009	1.000000
Yannick Desiron	2019 - 2020	1.000000
Maik Zirbes	2013 - 2014	1.000000
Ismael Romero	2018 - 2019	1.000000
Karl Malone	1999 - 2000	1.000000
Chris Horton	2018 - 2019	1.000000
Paul Davis	2010 - 2011	1.000000
Alain Koffi	2003 - 2004	1.000000
Andre Nilsson	2016 - 2017	1.000000
Darrius Garrett	2013 - 2014	1.000000
Samaki Walker	2001 - 2002	1.000000
Vin Baker	2001 - 2002	1.000000
Benjamin Eze	2012 - 2013	1.000000
Yassin Idbihi	2012 - 2013	1.000000
Sasa Borovnjak	2016 - 2017	1.000000
Avtandili Lominashvili	2014 - 2015	1.000000
Eddy Curry	2003 - 2004	1.000000
Colton Iverson	2018 - 2019	1.000000
Marcus Keene	2019 - 2020	1.000000
Marcus Camby	2007 - 2008	1.000000
Rasho Nesterovic	2005 - 2006	1.000000
Mike Morrison	2017 - 2018	1.000000
James Padgett	2013 - 2014	1.000000
Malik Rose	2005 - 2006	1.000000
Terence Dials	2013 - 2014	1.000000
Shaun Livingston	2005 - 2006	1.000000
Adam Constantine	2011 - 2012	1.000000
Ilija Zolotic	2013 - 2014	1.000000
Ziga Dimec	2013 - 2014	1.000000
Ousman Krubally	2013 - 2014	1.000000
