player	season	fg_acc
Kohei Takahashi	2019 - 2020	1.000000
Loic Schwartz	2016 - 2017	1.000000
Tommi Huolila	2016 - 2017	1.000000
Dmytro Gliebov	2012 - 2013	1.000000
Nemanja Zdravkovic	2019 - 2020	1.000000
Fotios Georgalas	2019 - 2020	1.000000
Tomas Pomikalek	2015 - 2016	1.000000
Samuel Taiwo	2019 - 2020	1.000000
Itay Segev	2015 - 2016	1.000000
Mike Myers	2017 - 2018	0.909091
Denis Marconato	2010 - 2011	0.866667
Giannis Sidiroilias	2019 - 2020	0.857143
Rudy Gobert	2012 - 2013	0.857143
Primoz Brezec	2010 - 2011	0.854545
Julian Vaughn	2015 - 2016	0.837209
Brandan Wright	2013 - 2014	0.833333
Tamas Harazin	2015 - 2016	0.830357
Dante Cunningham	2014 - 2015	0.818182
Theo Ratliff	2008 - 2009	0.818182
Vitalis Chikoko	2016 - 2017	0.816667
Nikola Djuric	2019 - 2020	0.810811
Jozsef Szendrei	2004 - 2005	0.810811
Keith Clanton	2017 - 2018	0.807692
Chris Andersen	2012 - 2013	0.807018
Boyko Mladenov	2004 - 2005	0.805556
Moustapha Fall	2019 - 2020	0.802920
Tamas Harazin	2017 - 2018	0.801887
Wojciech Watroba	2019 - 2020	0.800000
Joel Anthony	2008 - 2009	0.800000
Tyler Zeller	2017 - 2018	0.800000
Darko Planinic	2011 - 2012	0.795918
Jeff Withey	2019 - 2020	0.794118
Edy Tavares	2018 - 2019	0.793893
Aaron Anderson	2015 - 2016	0.785714
Peter Lorant	2015 - 2016	0.785714
Jack Andrews	2019 - 2020	0.785714
Sergio Escobar	2019 - 2020	0.785714
Aliaksei Lashkevich	2015 - 2016	0.785714
Riccardo Cervi	2013 - 2014	0.785047
Guilherme Teichmann	2019 - 2020	0.783784
Kaleb Tarczewski	2018 - 2019	0.782895
Simas Galdikas	2013 - 2014	0.777778
Ahmet Duverioglu	2019 - 2020	0.774194
Mickell Gladness	2017 - 2018	0.772727
Tamas Harazin	2012 - 2013	0.768595
Tamas Harazin	2014 - 2015	0.761589
Maksim Salash	2019 - 2020	0.760000
Tony Easley	2012 - 2013	0.756757
Michael Fusek	2018 - 2019	0.756614
Dusko Bunic	2012 - 2013	0.754717
John Florveus	2019 - 2020	0.753846
Radoslav Pekovic	2016 - 2017	0.753846
Edy Tavares	2018 - 2019	0.751553
D'or Fischer	2014 - 2015	0.750000
Michal Dolnik	2019 - 2020	0.750000
Acie Law	2007 - 2008	0.750000
Vassilis Symtsak	2015 - 2016	0.750000
Andre Riddick	2008 - 2009	0.750000
Tamas Harazin	2011 - 2012	0.750000
Zoran Majkic	2003 - 2004	0.750000
Lele Oliveira	2019 - 2020	0.750000
Emanuel Matias	2019 - 2020	0.750000
William Mosley	2019 - 2020	0.750000
Eric Zenners	2019 - 2020	0.750000
Vladimir Ivlev	2019 - 2020	0.750000
Vladimir Veremeenko	2013 - 2014	0.750000
Tim Ohlbrecht	2011 - 2012	0.750000
Marc Marius Judith	2013 - 2014	0.750000
Eric Buckner	2019 - 2020	0.747253
Sherman Gay	2018 - 2019	0.746154
Sherman Gay	2018 - 2019	0.746154
Taylor Smith	2013 - 2014	0.744966
De'Quon Lake	2019 - 2020	0.744898
Giorgi Shermadini	2018 - 2019	0.743802
Denis Marconato	2002 - 2003	0.743802
Robert Williams	2019 - 2020	0.741935
Mitchell Robinson	2019 - 2020	0.741935
Moustapha Fall	2016 - 2017	0.741379
Michael Ojo	2018 - 2019	0.741379
Jake Wiley	2019 - 2020	0.741071
Evaldas Kairys	2017 - 2018	0.740157
Semih Erden	2019 - 2020	0.740000
George Valentine	2015 - 2016	0.738916
Bangaly Fofana	2015 - 2016	0.738854
Ovidijus Galdikas	2014 - 2015	0.738693
Gerald Lee	2013 - 2014	0.738636
Peter Olisemeka	2018 - 2019	0.738095
Zisis Sarikopoulos	2018 - 2019	0.736842
Ratko Petric	2017 - 2018	0.736842
Aliaksandr Semianiuk	2018 - 2019	0.736842
Jure Lalic	2013 - 2014	0.736626
Jure Lalic	2012 - 2013	0.735849
Ahmet Duverioglu	2018 - 2019	0.735484
Nikola Vujovic	2019 - 2020	0.735294
Anthony Walker	2019 - 2020	0.735294
Shevon Thompson	2019 - 2020	0.734940
Nazr Mohammed	2005 - 2006	0.733333
Arturas Gudaitis	2015 - 2016	0.733333
JaVale McGee	2016 - 2017	0.732143
George Papagiannis	2019 - 2020	0.731959
