player	season	ft_acc
Paulinho Boracini	2011 - 2012	1.098039
Suad Sehovic	2018 - 2019	1.000000
Miha Vasl	2015 - 2016	1.000000
LeVar Seals	2011 - 2012	1.000000
Toure' Murry	2017 - 2018	1.000000
Petar Rebic	2019 - 2020	1.000000
Sek Henry	2014 - 2015	1.000000
Milo Abou Jaoudeh	2014 - 2015	1.000000
Paul Zipser	2015 - 2016	1.000000
Rok Stipcevic	2015 - 2016	1.000000
John DeGroat	2011 - 2012	1.000000
Peter Toth	2017 - 2018	1.000000
Brandon Gay	2007 - 2008	1.000000
Raul Lopez	2012 - 2013	1.000000
Can Ogut	2015 - 2016	1.000000
Jeroen van der List	2015 - 2016	1.000000
Pedro Bastos	2015 - 2016	1.000000
Kees Akerboom	2015 - 2016	1.000000
Antonio McDyess	2008 - 2009	1.000000
Rasual Butler	2008 - 2009	1.000000
Brian Scalabrine	2008 - 2009	1.000000
Hollis Price	2004 - 2005	1.000000
Brent Barry	2001 - 2002	1.000000
Massimo Bulleri	2011 - 2012	1.000000
Phil Goss	2011 - 2012	1.000000
Bruce Bowen	2008 - 2009	1.000000
Drew Gooden	2008 - 2009	1.000000
Josh Powell	2008 - 2009	1.000000
Daequan Cook	2008 - 2009	1.000000
Vitaliy Fridzon	2018 - 2019	1.000000
Vladislav Trushkin	2018 - 2019	1.000000
Luca Vitali	2018 - 2019	1.000000
Krzysztof Szubarga	2018 - 2019	1.000000
Jakub Garbacz	2018 - 2019	1.000000
Matt Bonner	2008 - 2009	1.000000
Filip Najev	2016 - 2017	1.000000
Marcellus Sommerville	2011 - 2012	1.000000
Shan Foster	2011 - 2012	1.000000
Yuval Naimy	2011 - 2012	1.000000
Tom Konen	2019 - 2020	1.000000
Dan Grunfeld	2011 - 2012	1.000000
Scott Bamforth	2018 - 2019	1.000000
Corey Walden	2018 - 2019	1.000000
Tevfik Akdamar	2019 - 2020	1.000000
Gigi Datome	2019 - 2020	1.000000
Maxim Sheleketo	2011 - 2012	1.000000
Todor Stoykov	2011 - 2012	1.000000
Max Logelin	2019 - 2020	1.000000
Jeff Schroeder	2019 - 2020	1.000000
Stephon Marbury	2008 - 2009	1.000000
Engin Atsur	2016 - 2017	1.000000
Alberto Diaz	2016 - 2017	1.000000
Uvis Helmanis	2004 - 2005	1.000000
Ivan Opacak	2011 - 2012	1.000000
Je'Kel Foster	2011 - 2012	1.000000
Charles Lombahe-Kahudi	2011 - 2012	1.000000
Vedran Vukusic	2011 - 2012	1.000000
Guni Israeli	2011 - 2012	1.000000
Herve Toure	2010 - 2011	1.000000
Sten Olmre	2018 - 2019	1.000000
Will Sheehey	2018 - 2019	1.000000
Stefano Gentile	2018 - 2019	1.000000
William Robeyns	2019 - 2020	1.000000
Tony Allen	2008 - 2009	1.000000
Joel Anthony	2008 - 2009	1.000000
Solomon Jones	2008 - 2009	1.000000
Polat Kaya	2019 - 2020	1.000000
Egehan Arna	2019 - 2020	1.000000
Berk Demir	2019 - 2020	1.000000
Jamar Smith	2018 - 2019	1.000000
Tom Kaldre	2018 - 2019	1.000000
Aleksandar Milic	2015 - 2016	1.000000
Kevin Ollie	2001 - 2002	1.000000
Erick Strickland	2001 - 2002	1.000000
Rashard Lewis	2001 - 2002	1.000000
Vladimir Radmanovic	2001 - 2002	1.000000
Javier Beiran	2011 - 2012	1.000000
Demond Greene	2011 - 2012	1.000000
Tomas Bellas	2011 - 2012	1.000000
Oleksiy Pecherov	2011 - 2012	1.000000
Sitapha Savane	2011 - 2012	1.000000
Igor Ivanovic	2019 - 2020	1.000000
Jonathan Tabu	2016 - 2017	1.000000
Dorde Drenovac	2016 - 2017	1.000000
Karsten Tadda	2016 - 2017	1.000000
Philippe Braud	2010 - 2011	1.000000
Steve Esterkamp	2012 - 2013	1.000000
Lukas Palyza	2012 - 2013	1.000000
Kris Minkov	2018 - 2019	1.000000
Martin Marinov	2018 - 2019	1.000000
Arvin Slagter	2018 - 2019	1.000000
Andrew Thomson	2018 - 2019	1.000000
Jimmy Baron	2012 - 2013	1.000000
Dairis Bertans	2012 - 2013	1.000000
Jonathan Wess	2019 - 2020	1.000000
Gavrilo Pajovic	2004 - 2005	1.000000
Davis Geks	2019 - 2020	1.000000
Ilari Seppala	2018 - 2019	1.000000
Josh Mayo	2016 - 2017	1.000000
Randy Livingston	2001 - 2002	1.000000
