player	season	pts_per_game
Jonathan Gibson	2015 - 2016	41.972222
Pierre Jackson	2018 - 2019	39.800000
Errick McCollum	2014 - 2015	39.578947
Willie Warren	2014 - 2015	38.941176
Darius Adams	2017 - 2018	38.731707
Joe Young	2019 - 2020	38.340909
Dominique Jones	2019 - 2020	37.785714
Jimmer Fredette	2016 - 2017	37.609756
Errick McCollum	2016 - 2017	37.472222
Russell Westbrook	2016 - 2017	37.400000
Jimmer Fredette	2017 - 2018	36.853659
Dominique Jones	2014 - 2015	36.804878
Darius Adams	2018 - 2019	36.622222
MarShon Brooks	2017 - 2018	36.583333
Donovan Mitchell	2019 - 2020	36.285714
MarShon Brooks	2016 - 2017	36.157895
James Harden	2018 - 2019	36.128205
Joe Young	2018 - 2019	36.116279
Jimmer Fredette	2018 - 2019	36.000000
Kobe Bryant	2005 - 2006	35.400000
LeBron James	2008 - 2009	35.285714
MarShon Brooks	2015 - 2016	35.027778
Darius Adams	2019 - 2020	34.896552
Antonio Blakeney	2019 - 2020	34.750000
J.R. Smith	2011 - 2012	34.437500
Kyle Fogg	2018 - 2019	34.355556
James Harden	2019 - 2020	34.338235
Jared Cunningham	2016 - 2017	34.032258
LeBron James	2017 - 2018	34.000000
Gilbert Arenas	2005 - 2006	34.000000
Jabari Brown	2016 - 2017	33.866667
Andre Emmett	2012 - 2013	33.862069
Tracy McGrady	2000 - 2001	33.750000
Jonathan Gibson	2017 - 2018	33.736842
Lester Hudson	2011 - 2012	33.625000
Russ Smith	2017 - 2018	33.562500
Jamaal Franklin	2016 - 2017	33.555556
Marcus Denmon	2018 - 2019	33.500000
Taylor Rochestie	2018 - 2019	33.488889
Dwyane Wade	2009 - 2010	33.200000
Willie Warren	2015 - 2016	33.131579
Jonathan Gibson	2018 - 2019	33.113636
Allen Iverson	2005 - 2006	33.013889
Allen Iverson	2000 - 2001	32.863636
LeBron James	2016 - 2017	32.833333
Kobe Bryant	2006 - 2007	32.800000
Von Wafer	2014 - 2015	32.512195
Jonathan Gibson	2013 - 2014	32.459459
Jamaal Franklin	2018 - 2019	32.307692
Tyler Hansbrough	2019 - 2020	32.294118
Kevin Durant	2018 - 2019	32.250000
Marcus E. Williams	2011 - 2012	32.121951
Tracy McGrady	2002 - 2003	32.093333
Kobe Bryant	2002 - 2003	32.083333
Kevin Durant	2013 - 2014	32.012346
Shavlik Randolph	2012 - 2013	32.000000
Antawn Jamison	2006 - 2007	32.000000
Josh Akognon	2014 - 2015	31.914286
Michael Beasley	2015 - 2016	31.900000
Sonny Weems	2017 - 2018	31.736842
Tracy McGrady	2002 - 2003	31.714286
Lester Hudson	2016 - 2017	31.702128
Allen Iverson	2002 - 2003	31.666667
Quincy Douby	2012 - 2013	31.647059
James Harden	2018 - 2019	31.636364
Russell Westbrook	2016 - 2017	31.580247
Kobe Bryant	2006 - 2007	31.558442
Shaun Willett	2019 - 2020	31.545455
Charles Gaines	2012 - 2013	31.531250
Jamaal Franklin	2017 - 2018	31.521739
Anthony Davis	2014 - 2015	31.500000
Allen Iverson	2001 - 2002	31.383333
LeBron James	2005 - 2006	31.367089
Bobby Brown	2014 - 2015	31.292683
Reggie Miller	2000 - 2001	31.250000
Jonathan Gibson	2019 - 2020	31.222222
Lester Hudson	2014 - 2015	31.220000
Allen Iverson	2004 - 2005	31.200000
Dez Wells	2019 - 2020	31.090909
Allen Iverson	2000 - 2001	31.084507
Andray Blatche	2014 - 2015	31.052632
Darius Adams	2016 - 2017	31.020000
Ante Delas	2015 - 2016	31.000000
Luka Doncic	2019 - 2020	31.000000
Majic Dorsey	2011 - 2012	30.857143
Kevin Durant	2012 - 2013	30.818182
Marcus Neal	2017 - 2018	30.777778
LeBron James	2005 - 2006	30.769231
Tracy McGrady	2001 - 2002	30.750000
Shaquille O'Neal	1999 - 2000	30.739130
Tracy McGrady	2004 - 2005	30.714286
Allen Iverson	2004 - 2005	30.693333
Bobby Brown	2013 - 2014	30.682927
Carmelo Anthony	2009 - 2010	30.666667
Bradley Beal	2019 - 2020	30.543860
Dominique Jones	2016 - 2017	30.500000
Kawhi Leonard	2018 - 2019	30.500000
Courtney Fortson	2017 - 2018	30.490196
Shaquille O'Neal	2000 - 2001	30.437500
Justin Dentmon	2014 - 2015	30.431818
